Sample	Coverage	FNR_Value	Hausdorff_Distance	Frechet_Distance	SSE	SSE_log10	Distance_Scale
gr_wolf.spain.SAMN04851099	5.0	0.04	577151538.1944444	582294946.4796296	159104736103.9915	14.191073463675771	psmc
gr_wolf.spain.SAMN04851099	5.0	0.05	573720416.5073099	580070778.4494152	157076402134.6297	13.9198369579403	psmc
gr_wolf.spain.SAMN04851099	5.0	0.06	570216292.2310874	577799287.6951537	155555036897.45862	13.725591366426999	psmc
gr_wolf.spain.SAMN04851099	5.0	0.07	566636810.4435483	575478947.6773596	154137871548.88855	13.537649367591433	psmc
gr_wolf.spain.SAMN04851099	5.0	0.08	562979513.8345411	573108165.4852657	153320806603.44833	13.443884652672953	psmc
gr_wolf.spain.SAMN04851099	5.0	0.09	559241837.0802808	570685278.1900489	151936114521.95294	13.272793224061457	psmc
gr_wolf.spain.SAMN04851099	5.0	0.1	555421100.8425926	568208548.9549383	150665518414.92276	13.120410767705295	psmc
gr_wolf.spain.SAMN04851099	5.0	0.11	551514505.363608	565676162.8830837	149254507299.44806	12.940028405144787	psmc
gr_wolf.spain.SAMN04851099	5.0	0.12	547519123.6237373	563086222.5823233	147865278318.51276	12.777999914595547	psmc
gr_wolf.spain.SAMN04851099	5.0	0.13	543431894.0277778	560436743.4240742	145422760145.73477	12.495203514224546	psmc
gr_wolf.spain.SAMN04851099	5.0	0.14	539249612.5807493	557725648.471447	143807628240.883	12.31240937191888	psmc
gr_wolf.spain.SAMN04851099	5.0	0.15	534968924.5114379	554859794.0297385	142494483894.5931	12.172421356550021	psmc
gr_wolf.spain.SAMN04851099	5.0	0.16	530586315.29761904	552109808.9267197	141097019170.51874	12.025296142290744	psmc
gr_wolf.spain.SAMN04851099	5.0	0.17	526098101.0425033	549200398.0782464	139557103440.43307	11.862645419646562	psmc
gr_wolf.spain.SAMN04851099	5.0	0.18	521500418.14701897	546220025.9895664	138237759787.36328	11.730378254247697	psmc
gr_wolf.spain.SAMN04851099	5.0	0.19	516789212.2170782	543166064.4665982	136609280822.59793	11.567406737997096	psmc
gr_wolf.spain.SAMN04851099	5.0	0.2	511960226.13888884	540035753.9055555	134138942406.84836	11.317493855742045	psmc
gr_wolf.spain.SAMN04851099	5.0	0.21	507008987.2485935	536826194.9758791	132276030771.90857	11.135648481753169	psmc
